areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2021-07-21,31676,5036404,31292,5006114,384,30290
nation,England,E92000001,2021-07-20,35948,5004728,35418,4974822,530,29906
nation,England,E92000001,2021-07-19,43401,4968780,42819,4939404,582,29376
nation,England,E92000001,2021-07-18,33163,4925379,32765,4896585,398,28794
nation,England,E92000001,2021-07-17,35280,4892216,34904,4863820,376,28396
nation,England,E92000001,2021-07-16,51137,4856936,50516,4828916,621,28020
nation,England,E92000001,2021-07-15,57582,4805799,56822,4778400,760,27399
nation,England,E92000001,2021-07-14,50319,4748217,49652,4721578,667,26639
nation,England,E92000001,2021-07-13,43246,4697898,42656,4671926,590,25972
nation,England,E92000001,2021-07-12,40479,4654652,39959,4629270,520,25382
nation,England,E92000001,2021-07-11,27418,4614173,27133,4589311,285,24862
nation,England,E92000001,2021-07-10,25411,4586755,25116,4562178,295,24577
nation,England,E92000001,2021-07-09,29049,4561344,28692,4537062,357,24282
nation,England,E92000001,2021-07-08,29925,4532295,29534,4508370,391,23925
nation,England,E92000001,2021-07-07,34274,4502370,33813,4478836,461,23534
nation,England,E92000001,2021-07-06,31627,4468096,31200,4445023,427,23073
nation,England,E92000001,2021-07-05,30215,4436469,29762,4413823,453,22646
nation,England,E92000001,2021-07-04,21806,4406254,21525,4384061,281,22193
nation,England,E92000001,2021-07-03,20638,4384448,20365,4362536,273,21912
nation,England,E92000001,2021-07-02,22288,4363810,21956,4342171,332,21639
nation,England,E92000001,2021-07-01,24267,4341522,23840,4320215,427,21307
nation,England,E92000001,2021-06-30,23941,4317255,23593,4296375,348,20880
nation,England,E92000001,2021-06-29,23250,4293314,22881,4272782,369,20532
nation,England,E92000001,2021-06-28,23511,4270064,23077,4249901,434,20163
nation,England,E92000001,2021-06-27,15407,4246553,15150,4226824,257,19729
nation,England,E92000001,2021-06-26,13486,4231146,13273,4211674,213,19472
nation,England,E92000001,2021-06-25,14901,4217660,14626,4198401,275,19259
nation,England,E92000001,2021-06-24,15082,4202759,14813,4183775,269,18984
nation,England,E92000001,2021-06-23,14805,4187677,14523,4168962,282,18715
nation,England,E92000001,2021-06-22,13564,4172872,13316,4154439,248,18433
nation,England,E92000001,2021-06-21,12706,4159308,12485,4141123,221,18185
nation,England,E92000001,2021-06-20,8204,4146602,8066,4128638,138,17964
nation,England,E92000001,2021-06-19,7126,4138398,6989,4120572,137,17826
nation,England,E92000001,2021-06-18,8772,4131272,8565,4113583,207,17689
nation,England,E92000001,2021-06-17,9523,4122500,9293,4105018,230,17482
nation,England,E92000001,2021-06-16,9411,4112977,9240,4095725,171,17252
nation,England,E92000001,2021-06-15,9149,4103566,8931,4086485,218,17081
nation,England,E92000001,2021-06-14,8941,4094417,8766,4077554,175,16863
nation,England,E92000001,2021-06-13,6075,4085476,5957,4068788,118,16688
nation,England,E92000001,2021-06-12,5422,4079401,5310,4062831,112,16570
nation,England,E92000001,2021-06-11,6510,4073979,6375,4057521,135,16458
nation,England,E92000001,2021-06-10,6717,4067469,6582,4051146,135,16323
nation,England,E92000001,2021-06-09,6919,4060752,6794,4044564,125,16188
nation,England,E92000001,2021-06-08,6630,4053833,6476,4037770,154,16063
nation,England,E92000001,2021-06-07,6790,4047203,6648,4031294,142,15909
nation,England,E92000001,2021-06-06,4729,4040413,4640,4024646,89,15767
nation,England,E92000001,2021-06-05,3964,4035684,3909,4020006,55,15678
nation,England,E92000001,2021-06-04,4885,4031720,4797,4016097,88,15623
nation,England,E92000001,2021-06-03,5129,4026835,5017,4011300,112,15535
nation,England,E92000001,2021-06-02,5039,4021706,4952,4006283,87,15423
nation,England,E92000001,2021-06-01,4515,4016667,4390,4001331,125,15336
nation,England,E92000001,2021-05-31,3170,4012152,3089,3996941,81,15211
nation,England,E92000001,2021-05-30,2598,4008982,2551,3993852,47,15130
nation,England,E92000001,2021-05-29,2462,4006384,2420,3991301,42,15083
nation,England,E92000001,2021-05-28,2929,4003922,2853,3988881,76,15041
nation,England,E92000001,2021-05-27,3075,4000993,2990,3986028,85,14965
nation,England,E92000001,2021-05-26,3178,3997918,3098,3983038,80,14880
nation,England,E92000001,2021-05-25,2797,3994740,2712,3979940,85,14800
nation,England,E92000001,2021-05-24,2749,3991943,2658,3977228,91,14715
nation,England,E92000001,2021-05-23,1918,3989194,1863,3974570,55,14624
nation,England,E92000001,2021-05-22,1606,3987276,1554,3972707,52,14569
nation,England,E92000001,2021-05-21,1870,3985670,1820,3971153,50,14517
nation,England,E92000001,2021-05-20,2000,3983800,1934,3969333,66,14467
nation,England,E92000001,2021-05-19,2260,3981800,2193,3967399,67,14401
nation,England,E92000001,2021-05-18,2241,3979540,2165,3965206,76,14334
nation,England,E92000001,2021-05-17,2341,3977299,2264,3963041,77,14258
nation,England,E92000001,2021-05-16,1586,3974958,1541,3960777,45,14181
nation,England,E92000001,2021-05-15,1304,3973372,1269,3959236,35,14136
nation,England,E92000001,2021-05-14,1538,3972068,1480,3957967,58,14101
nation,England,E92000001,2021-05-13,1737,3970530,1679,3956487,58,14043
nation,England,E92000001,2021-05-12,1868,3968793,1797,3954808,71,13985
nation,England,E92000001,2021-05-11,1871,3966925,1805,3953011,66,13914
nation,England,E92000001,2021-05-10,2324,3965054,2259,3951206,65,13848
nation,England,E92000001,2021-05-09,1985,3962730,1915,3948947,70,13783
nation,England,E92000001,2021-05-08,1300,3960745,1259,3947032,41,13713
nation,England,E92000001,2021-05-07,1656,3959445,1598,3945773,58,13672
nation,England,E92000001,2021-05-06,1966,3957789,1883,3944175,83,13614
nation,England,E92000001,2021-05-05,2203,3955823,2109,3942292,94,13531
nation,England,E92000001,2021-05-04,2198,3953620,2119,3940183,79,13437
nation,England,E92000001,2021-05-03,1806,3951422,1752,3938064,54,13358
nation,England,E92000001,2021-05-02,1305,3949616,1257,3936312,48,13304
nation,England,E92000001,2021-05-01,1209,3948311,1166,3935055,43,13256
nation,England,E92000001,2021-04-30,1528,3947102,1456,3933889,72,13213
nation,England,E92000001,2021-04-29,1901,3945574,1819,3932433,82,13141
nation,England,E92000001,2021-04-28,2153,3943673,2080,3930614,73,13059
nation,England,E92000001,2021-04-27,1808,3941520,1749,3928534,59,12986
nation,England,E92000001,2021-04-26,2268,3939712,2164,3926785,104,12927
nation,England,E92000001,2021-04-25,1897,3937444,1831,3924621,66,12823
nation,England,E92000001,2021-04-24,1300,3935547,1256,3922790,44,12757
nation,England,E92000001,2021-04-23,1701,3934247,1626,3921534,75,12713
nation,England,E92000001,2021-04-22,2032,3932546,1944,3919908,88,12638
nation,England,E92000001,2021-04-21,2299,3930514,2216,3917964,83,12550
nation,England,E92000001,2021-04-20,2112,3928215,2005,3915748,107,12467
nation,England,E92000001,2021-04-19,2268,3926103,2182,3913743,86,12360
nation,England,E92000001,2021-04-18,2281,3923835,2214,3911561,67,12274
nation,England,E92000001,2021-04-17,1398,3921554,1361,3909347,37,12207
nation,England,E92000001,2021-04-16,1963,3920156,1902,3907986,61,12170
nation,England,E92000001,2021-04-15,1959,3918193,1885,3906084,74,12109
nation,England,E92000001,2021-04-14,2068,3916234,2009,3904199,59,12035
nation,England,E92000001,2021-04-13,2060,3914166,1981,3902190,79,11976
nation,England,E92000001,2021-04-12,2398,3912106,2316,3900209,82,11897
nation,England,E92000001,2021-04-11,2020,3909708,1983,3897893,37,11815
nation,England,E92000001,2021-04-10,2009,3907688,1972,3895910,37,11778
nation,England,E92000001,2021-04-09,2481,3905679,2419,3893938,62,11741
nation,England,E92000001,2021-04-08,2651,3903198,2573,3891519,78,11679
nation,England,E92000001,2021-04-07,2752,3900547,2688,3888946,64,11601
nation,England,E92000001,2021-04-06,2755,3897795,2680,3886258,75,11537
nation,England,E92000001,2021-04-05,2314,3895040,2269,3883578,45,11462
nation,England,E92000001,2021-04-04,2043,3892726,2006,3881309,37,11417
nation,England,E92000001,2021-04-03,2119,3890683,2093,3879303,26,11380
nation,England,E92000001,2021-04-02,2248,3888564,2212,3877210,36,11354
nation,England,E92000001,2021-04-01,3067,3886316,3015,3874998,52,11318
nation,England,E92000001,2021-03-31,3341,3883249,3285,3871983,56,11266
nation,England,E92000001,2021-03-30,3135,3879908,3079,3868698,56,11210
nation,England,E92000001,2021-03-29,3422,3876773,3363,3865619,59,11154
nation,England,E92000001,2021-03-28,4476,3873351,4415,3862256,61,11095
nation,England,E92000001,2021-03-27,3136,3868875,3097,3857841,39,11034
nation,England,E92000001,2021-03-26,3803,3865739,3756,3854744,47,10995
nation,England,E92000001,2021-03-25,4674,3861936,4609,3850988,65,10948
nation,England,E92000001,2021-03-24,5321,3857262,5252,3846379,69,10883
nation,England,E92000001,2021-03-23,4563,3851941,4502,3841127,61,10814
nation,England,E92000001,2021-03-22,5399,3847378,5340,3836625,59,10753
nation,England,E92000001,2021-03-21,4677,3841979,4628,3831285,49,10694
nation,England,E92000001,2021-03-20,3513,3837302,3484,3826657,29,10645
nation,England,E92000001,2021-03-19,4329,3833789,4274,3823173,55,10616
nation,England,E92000001,2021-03-18,4680,3829460,4649,3818899,31,10561
nation,England,E92000001,2021-03-17,5046,3824780,4999,3814250,47,10530
nation,England,E92000001,2021-03-16,4919,3819734,4875,3809251,44,10483
nation,England,E92000001,2021-03-15,5637,3814815,5583,3804376,54,10439
nation,England,E92000001,2021-03-14,3707,3809178,3676,3798793,31,10385
nation,England,E92000001,2021-03-13,3590,3805471,3562,3795117,28,10354
nation,England,E92000001,2021-03-12,4766,3801881,4729,3791555,37,10326
nation,England,E92000001,2021-03-11,4848,3797115,4809,3786826,39,10289
nation,England,E92000001,2021-03-10,5223,3792267,5165,3782017,58,10250
nation,England,E92000001,2021-03-09,5487,3787044,5408,3776852,79,10192
nation,England,E92000001,2021-03-08,5818,3781557,5734,3771444,84,10113
nation,England,E92000001,2021-03-07,3677,3775739,3648,3765710,29,10029
nation,England,E92000001,2021-03-06,3832,3772062,3809,3762062,23,10000
nation,England,E92000001,2021-03-05,4728,3768230,4678,3758253,50,9977
nation,England,E92000001,2021-03-04,5011,3763502,4956,3753575,55,9927
nation,England,E92000001,2021-03-03,5305,3758491,5251,3748619,54,9872
nation,England,E92000001,2021-03-02,5951,3753186,5856,3743368,95,9818
nation,England,E92000001,2021-03-01,6214,3747235,6086,3737512,128,9723
nation,England,E92000001,2021-02-28,4112,3741021,4080,3731426,32,9595
nation,England,E92000001,2021-02-27,4254,3736909,4230,3727346,24,9563
nation,England,E92000001,2021-02-26,5884,3732655,5832,3723116,52,9539
nation,England,E92000001,2021-02-25,6935,3726771,6832,3717284,103,9487
nation,England,E92000001,2021-02-24,7619,3719836,7524,3710452,95,9384
nation,England,E92000001,2021-02-23,8535,3712217,8423,3702928,112,9289
nation,England,E92000001,2021-02-22,10277,3703682,10118,3694505,159,9177
nation,England,E92000001,2021-02-21,7032,3693405,6986,3684387,46,9018
nation,England,E92000001,2021-02-20,7160,3686373,7112,3677401,48,8972
nation,England,E92000001,2021-02-19,9246,3679213,9139,3670289,107,8924
nation,England,E92000001,2021-02-18,10304,3669967,10207,3661150,97,8817
nation,England,E92000001,2021-02-17,10419,3659663,10316,3650943,103,8720
nation,England,E92000001,2021-02-16,11270,3649244,11171,3640627,99,8617
nation,England,E92000001,2021-02-15,12953,3637974,12804,3629456,149,8518
nation,England,E92000001,2021-02-14,7780,3625021,7743,3616652,37,8369
nation,England,E92000001,2021-02-13,8024,3617241,7984,3608909,40,8332
nation,England,E92000001,2021-02-12,10986,3609217,10893,3600925,93,8292
nation,England,E92000001,2021-02-11,11637,3598231,11567,3590032,70,8199
nation,England,E92000001,2021-02-10,12272,3586594,12173,3578465,99,8129
nation,England,E92000001,2021-02-09,12696,3574322,12591,3566292,105,8030
nation,England,E92000001,2021-02-08,14370,3561626,14268,3553701,102,7925
nation,England,E92000001,2021-02-07,10457,3547256,10420,3539433,37,7823
nation,England,E92000001,2021-02-06,10951,3536799,10910,3529013,41,7786
nation,England,E92000001,2021-02-05,14462,3525848,14374,3518103,88,7745
nation,England,E92000001,2021-02-04,16716,3511386,16628,3503729,88,7657
nation,England,E92000001,2021-02-03,17948,3494670,17851,3487101,97,7569
nation,England,E92000001,2021-02-02,18195,3476722,18101,3469250,94,7472
nation,England,E92000001,2021-02-01,20764,3458527,20671,3451149,93,7378
nation,England,E92000001,2021-01-31,14138,3437763,14089,3430478,49,7285
nation,England,E92000001,2021-01-30,15524,3423625,15463,3416389,61,7236
nation,England,E92000001,2021-01-29,20362,3408101,20276,3400926,86,7175
nation,England,E92000001,2021-01-28,22522,3387739,22427,3380650,95,7089
nation,England,E92000001,2021-01-27,23899,3365217,23806,3358223,93,6994
nation,England,E92000001,2021-01-26,25210,3341318,25086,3334417,124,6901
nation,England,E92000001,2021-01-25,27971,3316108,27850,3309331,121,6777
nation,England,E92000001,2021-01-24,15883,3288137,15850,3281481,33,6656
nation,England,E92000001,2021-01-23,20425,3272254,20364,3265631,61,6623
nation,England,E92000001,2021-01-22,27741,3251829,27643,3245267,98,6562
nation,England,E92000001,2021-01-21,29632,3224088,29517,3217624,115,6464
nation,England,E92000001,2021-01-20,32678,3194456,32545,3188107,133,6349
nation,England,E92000001,2021-01-19,37056,3161778,36894,3155562,162,6216
nation,England,E92000001,2021-01-18,41934,3124722,41757,3118668,177,6054
nation,England,E92000001,2021-01-17,26976,3082788,26904,3076911,72,5877
nation,England,E92000001,2021-01-16,28411,3055812,28333,3050007,78,5805
nation,England,E92000001,2021-01-15,37877,3027401,37758,3021674,119,5727
nation,England,E92000001,2021-01-14,39659,2989524,39527,2983916,132,5608
nation,England,E92000001,2021-01-13,42300,2949865,42195,2944389,105,5476
nation,England,E92000001,2021-01-12,45968,2907565,45798,2902194,170,5371
nation,England,E92000001,2021-01-11,53518,2861597,53343,2856396,175,5201
nation,England,E92000001,2021-01-10,33749,2808079,33692,2803053,57,5026
nation,England,E92000001,2021-01-09,36419,2774330,36348,2769361,71,4969
nation,England,E92000001,2021-01-08,43493,2737911,43380,2733013,113,4898
nation,England,E92000001,2021-01-07,48132,2694418,48018,2689633,114,4785
nation,England,E92000001,2021-01-06,52751,2646286,52621,2641615,130,4671
nation,England,E92000001,2021-01-05,59598,2593535,59425,2588994,173,4541
nation,England,E92000001,2021-01-04,70918,2533937,70759,2529569,159,4368
nation,England,E92000001,2021-01-03,50662,2463019,50597,2458810,65,4209
nation,England,E92000001,2021-01-02,55428,2412357,55345,2408213,83,4144
nation,England,E92000001,2021-01-01,28879,2356929,28836,2352868,43,4061
nation,England,E92000001,2020-12-31,47822,2328050,47758,2324032,64,4018
nation,England,E92000001,2020-12-30,64243,2280228,64131,2276274,112,3954
nation,England,E92000001,2020-12-29,74056,2215985,73924,2212143,132,3842
nation,England,E92000001,2020-12-28,40844,2141929,40797,2138219,47,3710
nation,England,E92000001,2020-12-27,43249,2101085,43199,2097422,50,3663
nation,England,E92000001,2020-12-26,37461,2057836,37420,2054223,41,3613
nation,England,E92000001,2020-12-25,12926,2020375,12906,2016803,20,3572
nation,England,E92000001,2020-12-24,29286,2007449,29243,2003897,43,3552
nation,England,E92000001,2020-12-23,38383,1978163,38326,1974654,57,3509
nation,England,E92000001,2020-12-22,41741,1939780,41658,1936328,83,3452
nation,England,E92000001,2020-12-21,43446,1898039,43383,1894670,63,3369
nation,England,E92000001,2020-12-20,29554,1854593,29521,1851287,33,3306
nation,England,E92000001,2020-12-19,22195,1825039,22167,1821766,28,3273
nation,England,E92000001,2020-12-18,32424,1802844,32378,1799599,46,3245
nation,England,E92000001,2020-12-17,30158,1770420,30114,1767221,44,3199
nation,England,E92000001,2020-12-16,30651,1740262,30612,1737107,39,3155
nation,England,E92000001,2020-12-15,29658,1709611,29615,1706495,43,3116
nation,England,E92000001,2020-12-14,30022,1679953,29978,1676880,44,3073
nation,England,E92000001,2020-12-13,18413,1649931,18395,1646902,18,3029
nation,England,E92000001,2020-12-12,16271,1631518,16244,1628507,27,3011
nation,England,E92000001,2020-12-11,20181,1615247,20146,1612263,35,2984
nation,England,E92000001,2020-12-10,18850,1595066,18819,1592117,31,2949
nation,England,E92000001,2020-12-09,17750,1576216,17714,1573298,36,2918
nation,England,E92000001,2020-12-08,16940,1558466,16905,1555584,35,2882
nation,England,E92000001,2020-12-07,17672,1541526,17636,1538679,36,2847
nation,England,E92000001,2020-12-06,11042,1523854,11028,1521043,14,2811
nation,England,E92000001,2020-12-05,10310,1512812,10303,1510015,7,2797
nation,England,E92000001,2020-12-04,13065,1502502,13045,1499712,20,2790
nation,England,E92000001,2020-12-03,12767,1489437,12739,1486667,28,2770
nation,England,E92000001,2020-12-02,13669,1476670,13643,1473928,26,2742
nation,England,E92000001,2020-12-01,13741,1463001,13710,1460285,31,2716
nation,England,E92000001,2020-11-30,15235,1449260,15209,1446575,26,2685
nation,England,E92000001,2020-11-29,9068,1434025,9056,1431366,12,2659
nation,England,E92000001,2020-11-28,9352,1424957,9337,1422310,15,2647
nation,England,E92000001,2020-11-27,12468,1415605,12445,1412973,23,2632
nation,England,E92000001,2020-11-26,12464,1403137,12446,1400528,18,2609
nation,England,E92000001,2020-11-25,14156,1390673,14131,1388082,25,2591
nation,England,E92000001,2020-11-24,14265,1376517,14239,1373951,26,2566
nation,England,E92000001,2020-11-23,16474,1362252,16451,1359712,23,2540
nation,England,E92000001,2020-11-22,10221,1345778,10210,1343261,11,2517
nation,England,E92000001,2020-11-21,10813,1335557,10801,1333051,12,2506
nation,England,E92000001,2020-11-20,14966,1324744,14941,1322250,25,2494
nation,England,E92000001,2020-11-19,15799,1309778,15777,1307309,22,2469
nation,England,E92000001,2020-11-18,18556,1293979,18523,1291532,33,2447
nation,England,E92000001,2020-11-17,20680,1275423,20658,1273009,22,2414
nation,England,E92000001,2020-11-16,24142,1254743,24114,1252351,28,2392
nation,England,E92000001,2020-11-15,14424,1230601,14411,1228237,13,2364
nation,England,E92000001,2020-11-14,16296,1216177,16283,1213826,13,2351
nation,England,E92000001,2020-11-13,22017,1199881,21991,1197543,26,2338
nation,England,E92000001,2020-11-12,22330,1177864,22299,1175552,31,2312
nation,England,E92000001,2020-11-11,25068,1155534,25039,1153253,29,2281
nation,England,E92000001,2020-11-10,24842,1130466,24809,1128214,33,2252
nation,England,E92000001,2020-11-09,28572,1105624,28530,1103405,42,2219
nation,England,E92000001,2020-11-08,18278,1077052,18260,1074875,18,2177
nation,England,E92000001,2020-11-07,16895,1058774,16884,1056615,11,2159
nation,England,E92000001,2020-11-06,21187,1041879,21153,1039731,34,2148
nation,England,E92000001,2020-11-05,21213,1020692,21175,1018578,38,2114
nation,England,E92000001,2020-11-04,21055,999479,21023,997403,32,2076
nation,England,E92000001,2020-11-03,22698,978424,22656,976380,42,2044
nation,England,E92000001,2020-11-02,28411,955726,28372,953724,39,2002
nation,England,E92000001,2020-11-01,13619,927315,13599,925352,20,1963
nation,England,E92000001,2020-10-31,14576,913696,14560,911753,16,1943
nation,England,E92000001,2020-10-30,19900,899120,19872,897193,28,1927
nation,England,E92000001,2020-10-29,20264,879220,20234,877321,30,1899
nation,England,E92000001,2020-10-28,20548,858956,20524,857087,24,1869
nation,England,E92000001,2020-10-27,20764,838408,20743,836563,21,1845
nation,England,E92000001,2020-10-26,23032,817644,23007,815820,25,1824
nation,England,E92000001,2020-10-25,13356,794612,13347,792813,9,1799
nation,England,E92000001,2020-10-24,13715,781256,13698,779466,17,1790
nation,England,E92000001,2020-10-23,18361,767541,18331,765768,30,1773
nation,England,E92000001,2020-10-22,19870,749180,19852,747437,18,1743
nation,England,E92000001,2020-10-21,21772,729310,21745,727585,27,1725
nation,England,E92000001,2020-10-20,21649,707538,21600,705840,49,1698
nation,England,E92000001,2020-10-19,22384,685889,22357,684240,27,1649
nation,England,E92000001,2020-10-18,11996,663505,11980,661883,16,1622
nation,England,E92000001,2020-10-17,12492,651509,12477,649903,15,1606
nation,England,E92000001,2020-10-16,14761,639017,14730,637426,31,1591
nation,England,E92000001,2020-10-15,15433,624256,15398,622696,35,1560
nation,England,E92000001,2020-10-14,16645,608823,16625,607298,20,1525
nation,England,E92000001,2020-10-13,15663,592178,15628,590673,35,1505
nation,England,E92000001,2020-10-12,16428,576515,16403,575045,25,1470
nation,England,E92000001,2020-10-11,9787,560087,9778,558642,9,1445
nation,England,E92000001,2020-10-10,10305,550300,10291,548864,14,1436
nation,England,E92000001,2020-10-09,13160,539995,13132,538573,28,1422
nation,England,E92000001,2020-10-08,15453,526835,15435,525441,18,1394
nation,England,E92000001,2020-10-07,15419,511382,15388,510006,31,1376
nation,England,E92000001,2020-10-06,14458,495963,14430,494618,28,1345
nation,England,E92000001,2020-10-05,14219,481505,14185,480188,34,1317
nation,England,E92000001,2020-10-04,9966,467286,9957,466003,9,1283
nation,England,E92000001,2020-10-03,9820,457320,9810,456046,10,1274
nation,England,E92000001,2020-10-02,11719,447500,11692,446236,27,1264
nation,England,E92000001,2020-10-01,11445,435781,11417,434544,28,1237
nation,England,E92000001,2020-09-30,10663,424336,10632,423127,31,1209
nation,England,E92000001,2020-09-29,8833,413673,8798,412495,35,1178
nation,England,E92000001,2020-09-28,8641,404840,8625,403697,16,1143
nation,England,E92000001,2020-09-27,6084,396199,6075,395072,9,1127
nation,England,E92000001,2020-09-26,5704,390115,5699,388997,5,1118
nation,England,E92000001,2020-09-25,6105,384411,6090,383298,15,1113
nation,England,E92000001,2020-09-24,6361,378306,6340,377208,21,1098
nation,England,E92000001,2020-09-23,5933,371945,5913,370868,20,1077
nation,England,E92000001,2020-09-22,5400,366012,5379,364955,21,1057
nation,England,E92000001,2020-09-21,4727,360612,4715,359576,12,1036
nation,England,E92000001,2020-09-20,4652,355885,4645,354861,7,1024
nation,England,E92000001,2020-09-19,4215,351233,4210,350216,5,1017
nation,England,E92000001,2020-09-18,4290,347018,4266,346006,24,1012
nation,England,E92000001,2020-09-17,3979,342728,3959,341740,20,988
nation,England,E92000001,2020-09-16,3778,338749,3753,337781,25,968
nation,England,E92000001,2020-09-15,3057,334971,3032,334028,25,943
nation,England,E92000001,2020-09-14,2941,331914,2915,330996,26,918
nation,England,E92000001,2020-09-13,1722,328973,1719,328081,3,892
nation,England,E92000001,2020-09-12,2224,327251,2216,326362,8,889
nation,England,E92000001,2020-09-11,2893,325027,2868,324146,25,881
nation,England,E92000001,2020-09-10,3143,322134,3123,321278,20,856
nation,England,E92000001,2020-09-09,2893,318991,2873,318155,20,836
nation,England,E92000001,2020-09-08,3071,316098,3035,315282,36,816
nation,England,E92000001,2020-09-07,3530,313027,3482,312247,48,780
nation,England,E92000001,2020-09-06,2079,309497,2069,308765,10,732
nation,England,E92000001,2020-09-05,2200,307418,2195,306696,5,722
nation,England,E92000001,2020-09-04,2637,305218,2605,304501,32,717
nation,England,E92000001,2020-09-03,2716,302581,2671,301896,45,685
nation,England,E92000001,2020-09-02,2696,299865,2643,299225,53,640
nation,England,E92000001,2020-09-01,1962,297169,1941,296582,21,587
nation,England,E92000001,2020-08-31,1279,295207,1272,294641,7,566
nation,England,E92000001,2020-08-30,987,293928,983,293369,4,559
nation,England,E92000001,2020-08-29,1051,292941,1047,292386,4,555
nation,England,E92000001,2020-08-28,1395,291890,1386,291339,9,551
nation,England,E92000001,2020-08-27,1356,290495,1330,289953,26,542
nation,England,E92000001,2020-08-26,1181,289139,1156,288623,25,516
nation,England,E92000001,2020-08-25,1085,287958,1069,287467,16,491
nation,England,E92000001,2020-08-24,1157,286873,1146,286398,11,475
nation,England,E92000001,2020-08-23,704,285716,701,285252,3,464
nation,England,E92000001,2020-08-22,732,285012,727,284551,5,461
nation,England,E92000001,2020-08-21,1031,284280,1014,283824,17,456
nation,England,E92000001,2020-08-20,1254,283249,1231,282810,23,439
nation,England,E92000001,2020-08-19,1109,281995,1086,281579,23,416
nation,England,E92000001,2020-08-18,955,280886,939,280493,16,393
nation,England,E92000001,2020-08-17,1159,279931,1150,279554,9,377
nation,England,E92000001,2020-08-16,534,278772,529,278404,5,368
nation,England,E92000001,2020-08-15,656,278238,655,277875,1,363
nation,England,E92000001,2020-08-14,1059,277582,1040,277220,19,362
nation,England,E92000001,2020-08-13,1036,276523,1030,276180,6,343
nation,England,E92000001,2020-08-12,1126,275487,1107,275150,19,337
nation,England,E92000001,2020-08-11,1247,274361,1221,274043,26,318
nation,England,E92000001,2020-08-10,1375,273114,1361,272822,14,292
nation,England,E92000001,2020-08-09,569,271739,565,271461,4,278
nation,England,E92000001,2020-08-08,648,271170,642,270896,6,274
nation,England,E92000001,2020-08-07,892,270522,881,270254,11,268
nation,England,E92000001,2020-08-06,1005,269630,991,269373,14,257
nation,England,E92000001,2020-08-05,974,268625,952,268382,22,243
nation,England,E92000001,2020-08-04,965,267651,938,267430,27,221
nation,England,E92000001,2020-08-03,963,266686,947,266492,16,194
nation,England,E92000001,2020-08-02,518,265723,514,265545,4,178
nation,England,E92000001,2020-08-01,508,265205,503,265031,5,174
nation,England,E92000001,2020-07-31,644,264697,635,264528,9,169
nation,England,E92000001,2020-07-30,879,264053,864,263893,15,160
nation,England,E92000001,2020-07-29,994,263174,979,263029,15,145
nation,England,E92000001,2020-07-28,796,262180,783,262050,13,130
nation,England,E92000001,2020-07-27,824,261384,814,261267,10,117
nation,England,E92000001,2020-07-26,518,260560,517,260453,1,107
nation,England,E92000001,2020-07-25,499,260042,496,259936,3,106
nation,England,E92000001,2020-07-24,720,259543,712,259440,8,103
nation,England,E92000001,2020-07-23,741,258823,736,258728,5,95
nation,England,E92000001,2020-07-22,764,258082,756,257992,8,90
nation,England,E92000001,2020-07-21,697,257318,691,257236,6,82
nation,England,E92000001,2020-07-20,769,256621,759,256545,10,76
nation,England,E92000001,2020-07-19,419,255852,414,255786,5,66
nation,England,E92000001,2020-07-18,473,255433,471,255372,2,61
nation,England,E92000001,2020-07-17,548,254960,547,254901,1,59
nation,England,E92000001,2020-07-16,644,254412,639,254354,5,58
nation,England,E92000001,2020-07-15,726,253768,722,253715,4,53
nation,England,E92000001,2020-07-14,661,253042,657,252993,4,49
nation,England,E92000001,2020-07-13,694,252381,694,252336,0,45
nation,England,E92000001,2020-07-12,351,251687,351,251642,0,45
nation,England,E92000001,2020-07-11,433,251336,429,251291,4,45
nation,England,E92000001,2020-07-10,524,250903,521,250862,3,41
nation,England,E92000001,2020-07-09,688,250379,682,250341,6,38
nation,England,E92000001,2020-07-08,682,249691,676,249659,6,32
nation,England,E92000001,2020-07-07,565,249009,562,248983,3,26
nation,England,E92000001,2020-07-06,664,248444,660,248421,4,23
nation,England,E92000001,2020-07-05,544,247780,543,247761,1,19
nation,England,E92000001,2020-07-04,385,247236,385,247218,0,18
nation,England,E92000001,2020-07-03,536,246851,535,246833,1,18
nation,England,E92000001,2020-07-02,561,246315,557,246298,4,17
nation,England,E92000001,2020-07-01,607,245754,604,245741,3,13
nation,England,E92000001,2020-06-30,578,245147,577,245137,1,10
nation,England,E92000001,2020-06-29,666,244569,664,244560,2,9
nation,England,E92000001,2020-06-28,413,243903,412,243896,1,7
nation,England,E92000001,2020-06-27,506,243490,504,243484,2,6
nation,England,E92000001,2020-06-26,640,242984,639,242980,1,4
nation,England,E92000001,2020-06-25,643,242344,643,242341,0,3
nation,England,E92000001,2020-06-24,732,241701,731,241698,1,3
nation,England,E92000001,2020-06-23,727,240969,726,240967,1,2
nation,England,E92000001,2020-06-22,821,240242,821,240241,0,1
nation,England,E92000001,2020-06-21,550,239421,550,239420,0,1
nation,England,E92000001,2020-06-20,626,238871,626,238870,0,1
nation,England,E92000001,2020-06-19,818,238245,817,238244,1,1
nation,England,E92000001,2020-06-18,938,237427,938,237427,,
